Date,Time,Open,Close,High,Low,Volume
2010.06.28,00:00,1.23721,1.23966,1.22649,1.22756,50430
2010.06.29,00:00,1.22749,1.22898,1.21507,1.21858,55936
2010.06.30,00:00,1.21865,1.23036,1.21662,1.22353,59864
2010.07.01,00:00,1.22352,1.25390,1.21928,1.25253,68695
2010.07.02,00:00,1.25250,1.26104,1.24815,1.25652,58087
2010.07.05,00:00,1.25609,1.25632,1.25087,1.25381,29415
2010.07.06,00:00,1.25376,1.26612,1.24794,1.26264,58961
2010.07.07,00:00,1.26258,1.26634,1.25563,1.26367,51989
2010.07.08,00:00,1.26368,1.27110,1.26199,1.26968,55376
2010.07.09,00:00,1.26960,1.27218,1.26085,1.26382,46793
2010.07.12,00:00,1.26357,1.26464,1.25506,1.25945,44168
2010.07.13,00:00,1.25940,1.27379,1.25225,1.27230,54601
2010.07.14,00:00,1.27237,1.27771,1.26821,1.27424,55463
2010.07.15,00:00,1.27425,1.29539,1.27090,1.29498,62693
2010.07.16,00:00,1.29499,1.30064,1.28894,1.29281,59695
2010.07.19,00:00,1.29043,1.29912,1.28702,1.29396,52009
2010.07.20,00:00,1.29405,1.30277,1.28386,1.28785,58382
2010.07.21,00:00,1.28806,1.29127,1.27318,1.27532,58648
2010.07.22,00:00,1.27531,1.29324,1.27365,1.28916,59547
2010.07.23,00:00,1.28918,1.29646,1.27931,1.29077,55030
2010.07.26,00:00,1.28896,1.30047,1.28755,1.29934,38539
2010.07.27,00:00,1.29938,1.30449,1.29515,1.29952,44384
2010.07.28,00:00,1.29955,1.30410,1.29661,1.29934,45791
2010.07.29,00:00,1.29935,1.31057,1.29772,1.30750,58823
2010.07.30,00:00,1.30754,1.30929,1.29800,1.30483,61912
2010.08.02,00:00,1.30615,1.31947,1.30527,1.31793,52322
2010.08.03,00:00,1.31784,1.32616,1.31463,1.32298,48100
2010.08.04,00:00,1.32304,1.32381,1.31308,1.31604,51881
2010.08.05,00:00,1.31605,1.32349,1.31189,1.31877,50860
2010.08.06,00:00,1.31866,1.33333,1.31572,1.32800,48277
2010.08.09,00:00,1.32917,1.33072,1.32162,1.32209,50002
2010.08.10,00:00,1.32206,1.32324,1.30739,1.31743,63598
2010.08.11,00:00,1.31739,1.31857,1.28607,1.28620,74645
2010.08.12,00:00,1.28621,1.29318,1.27799,1.28280,78585
2010.08.13,00:00,1.28286,1.29053,1.27487,1.27520,72507
2010.08.16,00:00,1.27640,1.28702,1.27331,1.28254,72651
2010.08.17,00:00,1.28249,1.29148,1.28035,1.28841,80394
2010.08.18,00:00,1.28845,1.29218,1.28229,1.28519,76311
2010.08.19,00:00,1.28505,1.29017,1.27715,1.28211,91568
2010.08.20,00:00,1.28219,1.28319,1.26637,1.27095,82764
2010.08.23,00:00,1.27033,1.27285,1.26467,1.26559,70856
2010.08.24,00:00,1.26560,1.27184,1.25871,1.26262,84957
2010.08.25,00:00,1.26261,1.27259,1.26080,1.26563,89825
2010.08.26,00:00,1.26544,1.27638,1.26497,1.27148,88759
2010.08.27,00:00,1.27147,1.27788,1.26755,1.27593,76257
2010.08.30,00:00,1.27608,1.27676,1.26584,1.26619,63382
2010.08.31,00:00,1.26621,1.27425,1.26250,1.26788,76002
2010.09.01,00:00,1.26791,1.28549,1.26624,1.28079,75391
2010.09.02,00:00,1.28078,1.28478,1.27763,1.28239,71141
2010.09.03,00:00,1.28233,1.28965,1.28081,1.28938,56550
2010.09.06,00:00,1.28888,1.29176,1.28665,1.28741,49033
2010.09.07,00:00,1.28747,1.28755,1.26769,1.26809,121039
2010.09.08,00:00,1.26812,1.27627,1.26586,1.27200,115358
2010.09.09,00:00,1.27197,1.27656,1.26639,1.26939,106572
2010.09.10,00:00,1.26940,1.27466,1.26432,1.26796,101119
2010.09.13,00:00,1.27131,1.28918,1.27026,1.28809,104929
2010.09.14,00:00,1.28808,1.30326,1.28286,1.29966,124858
2010.09.15,00:00,1.29960,1.30365,1.29548,1.30101,125605
2010.09.16,00:00,1.30099,1.31161,1.29753,1.30766,116459
2010.09.17,00:00,1.30767,1.31587,1.30188,1.30477,125467
2010.09.20,00:00,1.30588,1.31207,1.30286,1.30597,103196
2010.09.21,00:00,1.30600,1.32850,1.30573,1.32627,121193
2010.09.22,00:00,1.32623,1.34394,1.32472,1.34049,149944
2010.09.23,00:00,1.34049,1.34140,1.33039,1.33138,99975
2010.09.24,00:00,1.33136,1.34936,1.32859,1.34922,92472
2010.09.27,00:00,1.34839,1.35060,1.34251,1.34533,82867
2010.09.28,00:00,1.34522,1.35946,1.33801,1.35841,97128
2010.09.29,00:00,1.35842,1.36459,1.35658,1.36258,87872
2010.09.30,00:00,1.36260,1.36828,1.35590,1.36331,118776
2010.10.01,00:00,1.36336,1.37908,1.36181,1.37899,99044
2010.10.04,00:00,1.37994,1.38049,1.36657,1.36837,73646
2010.10.05,00:00,1.36835,1.38581,1.36367,1.38376,75371
2010.10.06,00:00,1.38375,1.39473,1.37981,1.39290,69546
2010.10.07,00:00,1.39298,1.40283,1.38565,1.39246,78137
2010.10.08,00:00,1.39236,1.39833,1.38328,1.39353,78278
2010.10.11,00:00,1.39949,1.40102,1.38658,1.38748,53900
2010.10.12,00:00,1.38746,1.39350,1.37746,1.39239,78322
2010.10.13,00:00,1.39233,1.40010,1.39116,1.39609,84639
2010.10.14,00:00,1.39593,1.41220,1.39542,1.40824,84170
2010.10.15,00:00,1.40816,1.41575,1.39358,1.39746,89297
2010.10.18,00:00,1.39874,1.39974,1.38303,1.39323,84430
2010.10.19,00:00,1.39326,1.40033,1.37128,1.37250,123724
2010.10.20,00:00,1.37247,1.39902,1.36970,1.39625,96282
2010.10.21,00:00,1.39626,1.40497,1.38711,1.39190,120537
2010.10.22,00:00,1.39186,1.39717,1.38574,1.39526,106271
2010.10.25,00:00,1.39714,1.40794,1.39333,1.39627,100798
